"","Survey","areacode","Item.group","FBS.share","NHS.share","NHS.share.original","NEW.FBS","FBS.kcal","NHS.kcal","NEW.FBS.kcal","Partial.FBS","Partial.NHS","Updated.partial.FBS ","FBS.is.updated","DIFFERENCE","Original.Protein","Protein.after.update","Original.Fat","Fat.after.update","Continent","Subregion","UN.population"
"325","Guatemala_2006",89,"Cereals",0.467909230446013,0.558167187052982,0.609390608699921,0.490821251117399,1132,1394,1187,0.538865311246979,0.642810432896256,0.565251824585506,TRUE,-0.022912020671386,30.5,31.9934875933333,10.4,10.9092547859235,"Americas","Central America",1.3e+07
"326","Guatemala_2006",89,"Starchy Roots",0.00786748277479769,0.00897535836073556,0.00979903373329146,0.00789817195462679,19,22,19,0.00906054695721749,0.0103364263021714,0.00909588999677403,TRUE,-3.06891798291034e-05,0.4,0.401560304900948,0,0,"Americas","Central America",1.3e+07
"327","Guatemala_2006",89,"Sugar Products",0.201656075483684,0.107261672388437,0.117105156560836,0.189112772128849,488,268,457,0.232236204822844,0.123527365385315,0.217790772618128,TRUE,0.0125433033548355,0,0,0,0,"Americas","Central America",1.3e+07
"328","Guatemala_2006",89,"Pulses",0.047205144685697,0.0510581459061538,0.0557437902738755,0.0474436190787745,114,127,115,0.0543635673937655,0.0588008568653097,0.0546382052288167,TRUE,-0.000238474393077538,7.5,7.53788904705176,0.6,0.603031123764141,"Americas","Central America",1.3e+07
"329","Guatemala_2006",89,"Oilcrops & Treenuts",0.0219461405128025,0.0219461405128025,0.00146076042837241,0.0219461405128025,53,3,53,NA,NA,NA,FALSE,0,1.6,1.6,4.6,4.6,"Americas","Central America",1.3e+07
"330","Guatemala_2006",89,"Vegetables",0.0194616787954167,0.0119497767837559,0.013046416767222,0.014324909282168,47,30,35,0.0224129444753301,0.0137619003150943,0.016497209707879,TRUE,0.00513676951324873,1.9,1.39850872693105,0.4,0.29442288988022,"Americas","Central America",1.3e+07
"331","Guatemala_2006",89,"Fruits",0.0310558748160357,0.0471631514099804,0.0514913492096883,0.0317726120762205,75,118,77,0.0357653419934428,0.0543152060490497,0.036590768853314,TRUE,-0.000716737260184824,1,1.0230789589548,1.9,1.94385002201413,"Americas","Central America",1.3e+07
"332","Guatemala_2006",89,"Stimulants",0.00331262802502664,0.00331262802502664,2.22411562440237e-05,0.00331262802502664,8,0,8,NA,NA,NA,FALSE,0,0.6,0.6,0.4,0.4,"Americas","Central America",1.3e+07
"333","Guatemala_2006",89,"Spices",0.00124223499264143,0.00124223499264143,3.28090246047158e-05,0.00124223499264143,3,0,3,NA,NA,NA,FALSE,0,0.1,0.1,0.1,0.1,"Americas","Central America",1.3e+07
"334","Guatemala_2006",89,"Alcoholic Bev.",0.00828158039743789,0.00828158039743789,0.00131621888870193,0.00828158039743789,20,3,20,NA,NA,NA,FALSE,0,0.1,0.1,0,0,"Americas","Central America",1.3e+07
"335","Guatemala_2006",89,"Meat & Offals",0.037681147401883,0.0451937442671012,0.0493412080953143,0.0451937259333662,91,113,109,0.0433953038359686,0.0520471482208081,0.0520471271068544,TRUE,-0.00751257853148322,8.6,10.3146021240194,6,7.19623404001352,"Americas","Central America",1.3e+07
"336","Guatemala_2006",89,"Eggs",0.0215320842296474,0.0103798867590271,0.0113324567567591,0.0117415431649453,52,26,28,0.0247973164776964,0.0119539443660471,0.01352208911559,TRUE,0.00979054106470209,3.9,2.12668768405782,3.4,1.85403541687092,"Americas","Central America",1.3e+07
"337","Guatemala_2006",89,"Fish Products",0.00248446998528285,0.00279262637822144,0.00304890779674994,0.00249348738308677,6,7,6,0.00286122735947542,0.00321611411910466,0.00287161220029083,TRUE,-9.01739780391183e-06,0.8,0.802903604505533,0.2,0.200725901126383,"Americas","Central America",1.3e+07
"338","Guatemala_2006",89,"Milk",0.0314699724386759,0.0253816117507398,0.0277109013093961,0.0275210782259921,76,63,67,0.0362422354372801,0.0292306054808433,0.031694511283664,TRUE,0.00394889421268381,4.2,3.67297838517046,4.4,3.84788211779763,"Americas","Central America",1.3e+07
"339","Guatemala_2006",89,"Veg. Oils",0.0881986183343651,0.0881986183343651,0.0471969268676415,0.0881986183343651,213,108,213,NA,NA,NA,FALSE,0,0,0,24,24,"Americas","Central America",1.3e+07
"340","Guatemala_2006",89,"Animal Fats",0.00869563668059296,0.00869563668059296,0.00196121443138152,0.00869563668059296,21,4,21,NA,NA,NA,FALSE,0,0,0,2.3,2.3,"Americas","Central America",1.3e+07
"341","Haiti_1999_2000",93,"Grand Total",1.00000201354692,1.00000201354692,0,1.00000201354692,1957,2326,1957,NA,NA,NA,FALSE,0,43.32521,46.3721148232556,42.44958,42.4868685405073,"Americas","Caribbean",8483689
"342","Haiti_1999_2000",93,"Cereals",0.441172729383188,0.36640036120144,0.331833158898296,0.366498301135303,863,772,717,0.531302234508763,0.441254224628331,0.441372173228149,TRUE,0.0746744282478856,21.68454,18.0141394551106,4.969916,4.12869075867809,"Americas","Caribbean",8483689
"343","Haiti_1999_2000",93,"Starchy Roots",0.0838984696869659,0.0715884999776144,0.0648346470250942,0.0838376559067668,164,151,164,0.101038530824134,0.086213692438367,0.10096529307584,TRUE,6.08137801991759e-05,1.8,1.79869527054824,0.3,0.299782545091373,"Americas","Caribbean",8483689
"344","Haiti_1999_2000",93,"Sugar Products",0.119047128680561,0.0983360733439968,0.0890587818865521,0.119020678373305,233,207,233,0.143367894856659,0.118425668725103,0.143336040876545,TRUE,2.64503072560929e-05,0,0,0,0,"Americas","Caribbean",8483689
"345","Haiti_1999_2000",93,"Pulses",0.0525428424779861,0.0938654447442844,0.0850099244955846,0.0796327926000287,103,198,156,0.063277097056806,0.113041711815512,0.0959013960534716,TRUE,-0.0270899501220426,6.880504,10.4279426497572,0.465042,0.70480757016178,"Americas","Caribbean",8483689
"346","Haiti_1999_2000",93,"Oilcrops & Treenuts",0.0234576171830902,0.0234576171830902,0.0230787924041152,0.0234576171830902,46,54,46,NA,NA,NA,FALSE,0,1.530084,1.530084,3.920335,3.920335,"Americas","Caribbean",8483689
"347","Haiti_1999_2000",93,"Vegetables",0.0127893958810373,0.0606696494140493,0.0549459103923967,0.0345147517919783,25,128,68,0.015402209060185,0.0730641722701548,0.0415659525833153,TRUE,-0.021725355910941,1.5,4.04805107055365,0.2,0.539740142740486,"Americas","Caribbean",8483689
"348","Haiti_1999_2000",93,"Fruits",0.060619516463981,0.0883560989386177,0.0800203452927618,0.0857792223143226,119,186,168,0.0730037973951461,0.106406832680247,0.103303512331196,TRUE,-0.0251597058503416,1.234958,1.74751867072043,0.9048742,1.28043590077817,"Americas","Caribbean",8483689
"349","Haiti_1999_2000",93,"Stimulants",0.00222513799261208,0.00222513799261208,0.00891754315632084,0.00222513799261208,4,21,4,NA,NA,NA,FALSE,0,0.5349581,0.5349581,0.1,0.1,"Americas","Caribbean",8483689
"350","Haiti_1999_2000",93,"Spices",0,0,0.0648307773343831,0,0,151,0,NA,NA,NA,FALSE,0,0,0,0,0,"Americas","Caribbean",8483689
